location,category,fname,word_count,disk_usage
./Fantasy/Aces_Abroad.txt,Fantasy,Aces_Abroad.txt,0,0B
./Fantasy/Aces_High.txt,Fantasy,Aces_High.txt,0,0B
./Fantasy/Arms_of_the_Kraken.txt,Fantasy,Arms_of_the_Kraken.txt,0,0B
./Fantasy/COVET.txt,Fantasy,COVET.txt,0,0B
./Fantasy/GoodMan-Jesus-and-the-Scoundrel-Christ.txt,Fantasy,GoodMan-Jesus-and-the-Scoundrel-Christ.txt,0,0B
./Fantasy/Jokertown_Shuffle.txt,Fantasy,Jokertown_Shuffle.txt,0,0B
./Fantasy/Magic_of_the_Moonlight.txt,Fantasy,Magic_of_the_Moonlight.txt,0,0B
./Fantasy/One_Eyed_Jacks.txt,Fantasy,One_Eyed_Jacks.txt,0,0B
./Fantasy/Song-of-Susannah.txt,Fantasy,Song-of-Susannah.txt,0,0B
./Fantasy/Succubus_Dreams.txt,Fantasy,Succubus_Dreams.txt,0,0B
./Fantasy/Succubus_Heat.txt,Fantasy,Succubus_Heat.txt,0,0B
./Fantasy/The-Last-Battle.txt,Fantasy,The-Last-Battle.txt,0,0B
./Fantasy/The-Silver-Chair.txt,Fantasy,The-Silver-Chair.txt,0,0B
./Fantasy/The_Problem_of_Pain.txt,Fantasy,The_Problem_of_Pain.txt,0,0B
./Fantasy/u4108.txt,Fantasy,u4108.txt,0,0B
./Fantasy/u4109.txt,Fantasy,u4109.txt,0,0B
./Fantasy/u4110.txt,Fantasy,u4110.txt,0,0B
./Fantasy/u4112.txt,Fantasy,u4112.txt,0,0B
./Fantasy/u4113.txt,Fantasy,u4113.txt,0,0B
./Fantasy/u4114.txt,Fantasy,u4114.txt,0,0B
./Fantasy/u4115.txt,Fantasy,u4115.txt,0,0B
./Fantasy/What_Dreams_May_Come.txt,Fantasy,What_Dreams_May_Come.txt,0,0B
./Horror/354.txt,Horror,354.txt,0,0B
./Horror/356.txt,Horror,356.txt,0,0B
./Horror/Cain-Rose-Up.txt,Horror,Cain-Rose-Up.txt,0,0B
./Horror/For_Owen.txt,Horror,For_Owen.txt,0,0B
./Horror/Here-There-Be-Tygers.txt,Horror,Here-There-Be-Tygers.txt,0,0B
./Horror/Luckey-Quarter.txt,Horror,Luckey-Quarter.txt,0,0B
./Horror/Morning-Deliveries.txt,Horror,Morning-Deliveries.txt,0,0B
./Horror/Paranoid-A-Chant.txt,Horror,Paranoid-A-Chant.txt,0,0B
./Horror/Song-of-Susannah.txt,Horror,Song-of-Susannah.txt,0,0B
./Horror/The-Reapers-Image.txt,Horror,The-Reapers-Image.txt,0,0B
./New_Adult/u4111.txt,New_Adult,u4111.txt,0,0B
./Romance/All_I_Want_for_Christmas_Is_a_Vampire.txt,Romance,All_I_Want_for_Christmas_Is_a_Vampire.txt,0,0B
./Romance/Be_Still_My_Vampire_Heart.txt,Romance,Be_Still_My_Vampire_Heart.txt,0,0B
./Romance/Blood-Promise.txt,Romance,Blood-Promise.txt,0,0B
./Romance/Bloodlust.txt,Romance,Bloodlust.txt,0,0B
./Romance/Breaking_Dawn.txt,Romance,Breaking_Dawn.txt,0,0B
./Romance/Forbidden_Nights_with_a_Vampire.txt,Romance,Forbidden_Nights_with_a_Vampire.txt,0,0B
./Romance/How_To_Marry_A_Millionaire_Vampire.txt,Romance,How_To_Marry_A_Millionaire_Vampire.txt,0,0B
./Romance/One-Week-Girlfriend.txt,Romance,One-Week-Girlfriend.txt,0,0B
./Romance/Secret_Life_of_a_Vampire.txt,Romance,Secret_Life_of_a_Vampire.txt,0,0B
./Romance/THE_UNDEAD_NEXT_DOOR.txt,Romance,THE_UNDEAD_NEXT_DOOR.txt,0,0B
./Romance/The_Vampire_and_the_Virgin.txt,Romance,The_Vampire_and_the_Virgin.txt,0,0B
./Romance/Twilight.txt,Romance,Twilight.txt,0,0B
./Romance/u4111.txt,Romance,u4111.txt,0,0B
./Romance/u4113.txt,Romance,u4113.txt,0,0B
./Romance/VAMPS_AND_THE_CITY.txt,Romance,VAMPS_AND_THE_CITY.txt,0,0B
./Science_fiction/Asimov12.txt,Science_fiction,Asimov12.txt,0,0B
./Science_fiction/Asimov13.txt,Science_fiction,Asimov13.txt,0,0B
./Science_fiction/Asimov14.txt,Science_fiction,Asimov14.txt,0,0B
./Science_fiction/Asimov15.txt,Science_fiction,Asimov15.txt,0,0B
./Science_fiction/Asimov16.txt,Science_fiction,Asimov16.txt,0,0B
./Science_fiction/Asimov18.txt,Science_fiction,Asimov18.txt,0,0B
./Science_fiction/Asimov22.txt,Science_fiction,Asimov22.txt,0,0B
./Science_fiction/Asimov23.txt,Science_fiction,Asimov23.txt,0,0B
./Science_fiction/Asimov25.txt,Science_fiction,Asimov25.txt,0,0B
./Science_fiction/Asimov26.txt,Science_fiction,Asimov26.txt,0,0B
./Science_fiction/Asimov31.txt,Science_fiction,Asimov31.txt,0,0B
./Science_fiction/Asimov32.txt,Science_fiction,Asimov32.txt,0,0B
./Science_fiction/Asimov33.txt,Science_fiction,Asimov33.txt,0,0B
./Science_fiction/Asimov34.txt,Science_fiction,Asimov34.txt,0,0B
./Science_fiction/Asimov35.txt,Science_fiction,Asimov35.txt,0,0B
./Science_fiction/Asimov37.txt,Science_fiction,Asimov37.txt,0,0B
./Science_fiction/Asimov38.txt,Science_fiction,Asimov38.txt,0,0B
./Science_fiction/Asimov39.txt,Science_fiction,Asimov39.txt,0,0B
./Science_fiction/Asimov40c.txt,Science_fiction,Asimov40c.txt,0,0B
./Science_fiction/Asimov41.txt,Science_fiction,Asimov41.txt,0,0B
./Science_fiction/Asimov42.txt,Science_fiction,Asimov42.txt,0,0B
./Science_fiction/Asimov43.txt,Science_fiction,Asimov43.txt,0,0B
./Science_fiction/Asimov44.txt,Science_fiction,Asimov44.txt,0,0B
./Science_fiction/Asimov45.txt,Science_fiction,Asimov45.txt,0,0B
./Science_fiction/Asimov50a.txt,Science_fiction,Asimov50a.txt,0,0B
./Science_fiction/Asimov52.txt,Science_fiction,Asimov52.txt,0,0B
./Science_fiction/Asimov53.txt,Science_fiction,Asimov53.txt,0,0B
./Science_fiction/Asimov54.txt,Science_fiction,Asimov54.txt,0,0B
./Science_fiction/Asimov55.txt,Science_fiction,Asimov55.txt,0,0B
./Science_fiction/Asimov56b.txt,Science_fiction,Asimov56b.txt,0,0B
./Science_fiction/Asimov59.txt,Science_fiction,Asimov59.txt,0,0B
./Science_fiction/Asimov60a.txt,Science_fiction,Asimov60a.txt,0,0B
./Science_fiction/Shock.txt,Science_fiction,Shock.txt,0,0B
./Science_fiction/Song-of-Susannah.txt,Science_fiction,Song-of-Susannah.txt,0,0B
./Thriller/Ford-County.txt,Thriller,Ford-County.txt,0,0B
./Thriller/I_AM_Legend.txt,Thriller,I_AM_Legend.txt,0,0B
./Thriller/www.9novel.txt,Thriller,www.9novel.txt,0,0B
./Vampires/Bloodlust.txt,Vampires,Bloodlust.txt,0,0B
./Vampires/Breaking_Dawn.txt,Vampires,Breaking_Dawn.txt,0,0B
./Vampires/The_Vampires_Assistant.txt,Vampires,The_Vampires_Assistant.txt,0,0B
./Vampires/u4108.txt,Vampires,u4108.txt,0,0B
./Vampires/u4109.txt,Vampires,u4109.txt,0,0B
./Vampires/u4110.txt,Vampires,u4110.txt,0,0B
./Young_Adult/u4108.txt,Young_Adult,u4108.txt,0,0B
./Young_Adult/u4109.txt,Young_Adult,u4109.txt,0,0B
./Young_Adult/u4110.txt,Young_Adult,u4110.txt,0,0B
./Young_Adult/u4111.txt,Young_Adult,u4111.txt,0,0B
./Young_Adult/u4112.txt,Young_Adult,u4112.txt,0,0B
./Young_Adult/u4114.txt,Young_Adult,u4114.txt,0,0B
./Young_Adult/u4115.txt,Young_Adult,u4115.txt,0,0B
./Thriller/178774.txt,Thriller,178774.txt,1,4.0K
./Thriller/179426.txt,Thriller,179426.txt,1,4.0K
./Science_fiction/u4899.txt,Science_fiction,u4899.txt,28,4.0K
./Horror/The_End_of_the_Whole_Mess.txt,Horror,The_End_of_the_Whole_Mess.txt,32,4.0K
./Science_fiction/The_End_of_the_Whole_Mess.txt,Science_fiction,The_End_of_the_Whole_Mess.txt,32,4.0K
./Romance/Master_ of_Pleasure.txt,Romance,Master_ of_Pleasure.txt,472,60K
./Mystery/117685.txt,Mystery,117685.txt,574,4.0K
./Fantasy/u4624.txt,Fantasy,u4624.txt,653,4.0K
./Science_fiction/u4624.txt,Science_fiction,u4624.txt,653,4.0K
./Young_Adult/u4624.txt,Young_Adult,u4624.txt,653,4.0K
./New_Adult/u3040.txt,New_Adult,u3040.txt,1539,8.0K
./Romance/u3040.txt,Romance,u3040.txt,1539,8.0K
./Young_Adult/u3040.txt,Young_Adult,u3040.txt,1539,8.0K
./New_Adult/u3596.txt,New_Adult,u3596.txt,2335,16K
./Romance/u3596.txt,Romance,u3596.txt,2335,16K
./New_Adult/On_Dublin_Street-1_1.txt,New_Adult,On_Dublin_Street-1_1.txt,2343,16K
./Romance/On_Dublin_Street-1_1.txt,Romance,On_Dublin_Street-1_1.txt,2343,16K
./Mystery/u3417.txt,Mystery,u3417.txt,2445,16K
./Romance/u3417.txt,Romance,u3417.txt,2445,16K
./Young_Adult/u3764.txt,Young_Adult,u3764.txt,3148,20K
./Fantasy/u4207.txt,Fantasy,u4207.txt,3605,20K
